   pageID   bytes
1  3952653  18284
2  22091611 2222
3  72611703 4037
4  1995807  7533
5  64302262 984
6  12066155 10881
7  33994804 1390
8  4317740  1448
9  18186691 1375
10 52208328 8669
11 36227468 17822
12 29557948 1694
13 24154624 323
14 56429584 3540
15 7905194  3120
16 7106910  1989
17 1006463  762
18 50702107 4279
19 15576457 4996
20 69397759 7564
